no,vol,article no,pages in range,publisher name,publisher location,publisher year
1,9,,132-136,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,103-111,Russian State Social University,Moscow,2019
383,,,108-122,Faculty of Management University of Warsaw,Warsaw,2019
,,,,University North,Koprivnica,2019
,,,,Faculty of Law,Rabat,2019
,,,,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
382,,,80-90,Russian State Social University,Moscow,2019
6,,,2-10,Faculty of Management University of Warsaw,Warsaw,2019
382,,,64-79,University North,Koprivnica,2019
382,,,133-142,Faculty of Law,Rabat,2019
382,,,123-132,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
5,,,25-31,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
382,,,24-37,Russian State Social University,Moscow,2019
2,53,,67-77,Faculty of Management University of Warsaw,Warsaw,2019
20,,,87-102,University North,Koprivnica,2019
,,,230-241,Faculty of Law,Rabat,2019
2,20,,57-72,STEF92 Technology,Sofia,2019
,,,29-40,"CeDeWu, ",Warszawa,2019
390,,,91-104,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
20,,,23-37,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,169-178,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
2,14,,389-403,Russian State Social University,Moscow,2019
,,,,Faculty of Management University of Warsaw,Warsaw,2019
,11,,40-52,University North,Koprivnica,2019
390,,,125-138,Faculty of Law,Rabat,2019
390,,,105-124,Wydawnictwo Placet,Warszawa,2019
,,,,Wydawnictwo Placet,Warszawa,2019
4,61,,3-16,Wydawnictwo Placet,Warszawa,2019
3,11,,117-131,Wydawnictwo Placet,Warszawa,2019
390,,,7-17,International Business Information Management Association (IBIMA),Granada,2019
3,11,,48-59,International Business Information Management Association (IBIMA),Granada,2019
390,,,44-59,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,14-15,"Difin, ",Warszawa,2019
2,55,,118-126,"Difin, ",Warszawa,2019
,,,185-211,"Difin, ",Warszawa,2019
,,,65-75,"Difin, ",Warszawa,2019
381,,,102-119,International Business Information Management Association (IBIMA),Granada,2019
3,7,,65-82,"Difin, ",Warszawa,2019
,,,15-36,International Business Information Management Association (IBIMA),Granada,2019
,104,,85-102,STEF92 Technology,Sofia,2019
,,,8417-8423,"Difin, ",Warszawa,2019
,,,492-496,"Difin, ",Warszawa,2019
,,,122-133,Wydawnictwo Placet,Warszawa,2019
,57,,191-203,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,165-194,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,7355-7365,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,254-269,Masaryk University,Brno,2019
